299.077	14.094	120.585	291.293	359.369	159.741	35125.5
299.258	12.3047	120.585	291.293	359.55	157.951	35125.5
299.167	11.7172	120.585	291.293	359.459	157.364	35125.5
298.014	12.0872	120.585	291.293	358.307	157.734	35125.5
296.784	11.8513	120.585	291.293	357.076	157.498	35125.5
293.827	13.5114	120.585	291.293	354.119	159.158	35125.5
289.33	15.3407	120.585	291.293	349.623	160.987	35125.5
282.433	18.186	120.585	291.293	342.726	163.833	35125.5
275.06	20.7991	120.585	291.293	335.352	166.446	35125.5
266.87	19.2608	120.585	291.293	327.162	164.907	35125.5
263.971	25.8372	114.843	277.422	321.393	164.548	31859.9
258.537	25.0938	114.843	277.422	315.958	163.805	31859.9
253.586	24.6376	114.843	277.422	311.008	163.349	31859.9
249.741	23.6691	114.843	277.422	307.162	162.38	31859.9
248.547	22.5739	114.843	277.422	305.968	161.285	31859.9
247.533	22.9913	114.843	277.422	304.954	161.702	31859.9
244.398	21.91	114.843	277.422	301.819	160.621	31859.9
243.103	20.1924	114.843	277.422	300.524	158.903	31859.9
238.908	14.9115	120.585	291.293	299.201	160.558	35125.5
237.839	13.8649	120.585	291.293	298.131	159.511	35125.5
237.238	11.5642	120.585	291.293	297.531	157.211	35125.5
237.242	10.1599	120.585	291.293	297.534	155.806	35125.5
238.048	12.075	120.585	291.293	298.34	157.722	35125.5
236.813	11.173	120.585	291.293	297.106	156.82	35125.5
239.554	20.003	114.843	277.422	296.976	158.714	31859.9
238.67	19.9719	114.843	277.422	296.091	158.683	31859.9
237.683	21.0847	114.843	277.422	295.104	159.796	31859.9
236.905	23.1401	114.843	277.422	294.326	161.851	31859.9
237.747	24.3011	114.843	277.422	295.168	163.012	31859.9
239.01	23.7311	114.843	277.422	296.431	162.442	31859.9
238.452	23.7645	114.843	277.422	295.874	162.476	31859.9
238.626	23.7784	114.843	277.422	296.047	162.489	31859.9
238.797	24.1079	114.843	277.422	296.219	162.819	31859.9
235.927	24.1052	114.843	277.422	293.349	162.816	31859.9
232.745	24.3647	114.843	277.422	290.166	163.076	31859.9
230.821	24.4425	114.843	277.422	288.242	163.154	31859.9
227.251	25.8939	114.843	277.422	284.673	164.605	31859.9
220.773	26.7399	114.843	277.422	278.194	165.451	31859.9
207.992	27.2595	114.843	277.422	265.413	165.971	31859.9
201.414	24.7203	114.843	277.422	258.835	163.431	31859.9
193.528	22.0628	114.843	277.422	250.949	160.774	31859.9
193.514	23.6809	114.843	277.422	250.935	162.392	31859.9
210.468	24.3479	114.843	277.422	267.889	163.059	31859.9
220.49	23.2192	114.843	277.422	277.911	161.93	31859.9
236.335	23.8147	114.843	277.422	293.757	162.526	31859.9
251.56	23.6723	114.843	277.422	308.981	162.383	31859.9
255.621	23.1125	114.843	277.422	313.043	161.824	31859.9
255.319	22.7708	114.843	277.422	312.74	161.482	31859.9
257.189	22.5747	114.843	277.422	314.61	161.286	31859.9
257.424	21.2271	114.843	277.422	314.845	159.938	31859.9
257.565	21.0366	114.843	277.422	314.986	159.748	31859.9
258.51	21.6134	114.843	277.422	315.931	160.324	31859.9
259.732	21.7401	114.843	277.422	317.153	160.451	31859.9
255.777	13.7623	120.585	291.293	316.07	159.409	35125.5
256.003	13.6554	120.585	291.293	316.295	159.302	35125.5
256.977	11.6762	120.585	291.293	317.269	157.323	35125.5
256.755	9.04203	120.585	291.293	317.047	154.689	35125.5
257.497	11.3044	120.585	291.293	317.789	156.951	35125.5
258.103	14.268	120.585	291.293	318.395	159.915	35125.5
259.545	15.0728	120.585	291.293	319.837	160.719	35125.5
260.444	15.0042	120.585	291.293	320.736	160.651	35125.5
261.246	14.9542	120.585	291.293	321.539	160.601	35125.5
261.289	15.6085	120.585	291.293	321.582	161.255	35125.5
262.16	21.763	114.843	277.422	319.581	160.474	31859.9
259.374	21.5507	114.843	277.422	316.795	160.262	31859.9
253.167	15.4186	120.585	291.293	313.46	161.065	35125.5
249.772	16.568	120.585	291.293	310.064	162.215	35125.5
243.835	15.5054	120.585	291.293	304.127	161.152	35125.5
239.038	11.468	120.585	291.293	299.33	157.115	35125.5
237.741	15.1733	120.585	291.293	298.033	160.82	35125.5
234.649	16.2934	120.585	291.293	294.941	161.94	35125.5
234.279	22.0247	114.843	277.422	291.7	160.736	31859.9
230.493	23.8768	114.843	277.422	287.915	162.588	31859.9
225.111	23.7281	114.843	277.422	282.533	162.439	31859.9
220.833	24.452	114.843	277.422	278.255	163.163	31859.9
220.49	24.9679	114.843	277.422	277.911	163.679	31859.9
220.474	25.3821	114.843	277.422	277.895	164.093	31859.9
219.735	25.7406	114.843	277.422	277.156	164.452	31859.9
218.811	25.2915	114.843	277.422	276.232	164.003	31859.9
218.56	24.7754	114.843	277.422	275.981	163.486	31859.9
219.189	24.1512	114.843	277.422	276.61	162.862	31859.9
219.524	24.1408	114.843	277.422	276.946	162.852	31859.9
220.154	24.2944	114.843	277.422	277.575	163.005	31859.9
221.439	24.3821	114.843	277.422	278.86	163.093	31859.9
219.385	16.8599	120.585	291.293	279.677	162.507	35125.5
219.995	17.0076	120.585	291.293	280.288	162.654	35125.5
220.714	16.3252	120.585	291.293	281.006	161.972	35125.5
221.202	15.2017	120.585	291.293	281.494	160.848	35125.5
222.684	15.895	120.585	291.293	282.976	161.542	35125.5
223.451	16.441	120.585	291.293	283.743	162.088	35125.5
224.495	16.628	120.585	291.293	284.787	162.275	35125.5
225.691	17.9037	120.585	291.293	285.983	163.55	35125.5
226.382	18.37	120.585	291.293	286.675	164.017	35125.5
226.618	17.7818	120.585	291.293	286.911	163.428	35125.5
225.706	18.5482	120.585	291.293	285.999	164.195	35125.5
223.339	18.6678	120.585	291.293	283.632	164.314	35125.5
220.261	19.1879	120.585	291.293	280.553	164.835	35125.5
217.263	20.4534	120.585	291.293	277.555	166.1	35125.5
215.614	20.7546	120.585	291.293	275.906	166.401	35125.5
214.59	20.319	120.585	291.293	274.882	165.966	35125.5
214.005	19.9606	120.585	291.293	274.297	165.607	35125.5
213.172	19.7578	120.585	291.293	273.464	165.404	35125.5
212.265	19.5558	120.585	291.293	272.557	165.202	35125.5
212.673	19.4675	120.585	291.293	272.965	165.114	35125.5
213.66	19.6551	120.585	291.293	273.953	165.302	35125.5
215.773	20.0748	120.585	291.293	276.065	165.721	35125.5
218.478	19.8554	120.585	291.293	278.771	165.502	35125.5
221.332	20.5182	120.585	291.293	281.625	166.165	35125.5
225.297	20.4396	120.585	291.293	285.589	166.086	35125.5
229.632	19.8997	120.585	291.293	289.925	165.546	35125.5
233.241	20.4896	120.585	291.293	293.534	166.136	35125.5
235.512	20.2626	120.585	291.293	295.804	165.909	35125.5
239.596	27.1649	114.843	277.422	297.017	165.876	31859.9
242.631	26.7784	114.843	277.422	300.052	165.489	31859.9
246.81	26.4886	114.843	277.422	304.231	165.2	31859.9
